Nome,Nome Cientifico,Genero,Pastejo Continuo,Pastejo Rotacionado,Pastejo Rotatinuo,Imagem,Caracteristicas,Historico
Capim-Marandu (Braquiarão),Brachiaria brizantha cv. Marandu (syn. Urochloa brizantha),Brachiaria / Urochloa,35 cm (máxima) a 20 cm (mínima),30 a 40 cm (entrada) a 20 a 25 cm (saída),30 cm (entrada) a 18 cm (saída - resíduo de 40%),marandu.jpg,"O capim-Marandu é a forrageira mais cultivada no Brasil. Destaca-se pela boa produção de forragem, facilidade de manejo e resistência à cigarrinha-das-pastagens (Deois flavopicta). Exige solos de média a alta fertilidade e boa drenagem, não tolerando encharcamento. Tem hábito de crescimento cespitoso (touceira).","Lançado pela Embrapa Gado de Corte em 1984, originário de sementes coletadas no Zimbábue (África) em 1967. Revolucionou a pecuária brasileira ao substituir a B. decumbens, que era suscetível à cigarrinha, tornando-se a base das pastagens no Cerrado e outras regiões."
Capim-Mombaça,Panicum maximum cv. Mombaça (syn. Megathyrsus maximus),Panicum / Megathyrsus,Não recomendado (exige manejo cuidadoso para evitar rapagem),85 a 90 cm (entrada) a 40 a 50 cm (saída),90 cm (entrada) a 54 cm (saída - resíduo de 40%),mombaca.jpg,"Gramínea de porte alto, formando grandes touceiras. Apresenta altíssimo potencial de produção de matéria seca e excelente qualidade nutricional. Exige solos de alta fertilidade e bom nível de adubação para expressar seu potencial. O manejo deve ser rigoroso para evitar o alongamento excessivo de colmos.","Lançado em 1993 pela Embrapa Gado de Corte, proveniente de germoplasma coletado na Tanzânia em 1969. Foi uma das principais cultivares responsáveis pela intensificação da pecuária a pasto no Brasil, especialmente em sistemas rotacionados para gado de corte e leite."
Capim-Tanzânia,Panicum maximum cv. Tanzânia (syn. Megathyrsus maximus),Panicum / Megathyrsus,Não recomendado,70 cm (entrada) a 30 a 40 cm (saída),70 cm (entrada) a 42 cm (saída - resíduo de 40%),tanzania.jpg,"Apresenta porte médio a alto, com folhas mais finas que o Mombaça e maior proporção de folhas na massa total. Tem alta qualidade forrageira e boa aceitabilidade pelos animais. Exige solos de média a alta fertilidade. É suscetível ao fungo Bipolaris maydis em algumas regiões.","Lançado em 1990 pela Embrapa, também originário da Tanzânia. Foi a primeira grande alternativa ao capim-colonião comum, oferecendo maior produtividade de folhas e facilidade de manejo devido ao seu porte um pouco menor que o Mombaça."
Capim-Xaraés (MG-5 / Toledo),Brachiaria brizantha cv. Xaraés (syn. Urochloa brizantha),Brachiaria / Urochloa,40 cm (máxima) a 20 cm (mínima),60 cm (entrada) a 30 a 40 cm (saída),Não disponível,xaraes.jpg,"Gramínea de crescimento cespitoso, com folhas largas e compridas. Apresenta rápido rebrote e maior produção de forragem no final do período chuvoso em comparação ao Marandu. Exige solos de média a alta fertilidade e bom manejo para evitar o excesso de talos.","Lançado em 2003 pela Embrapa (e comercializado também como MG-5 Vitória ou Toledo por outras empresas). Originário de Burundi (África), foi selecionado por sua alta produtividade e melhor distribuição estacional de forragem, sendo uma alternativa para diversificação."
Capim-Piatã,Brachiaria brizantha cv. BRS Piatã (syn. Urochloa brizantha),Brachiaria / Urochloa,40 cm (máxima) a 20 cm (mínima),30 a 40 cm (entrada) a 20 a 25 cm (saída),30 cm (entrada) a 18 cm (saída - resíduo de 40%),piata.jpg,"Planta de porte médio, com colmos finos e alta proporção de folhas, resultando em excelente valor nutritivo. Apresenta boa resistência às cigarrinhas típicas e melhor tolerância a solos com drenagem imperfeita que o Marandu. É muito utilizado em sistemas de Integração Lavoura-Pecuária (ILP).","Lançado pela Embrapa em 2007, o BRS Piatã foi desenvolvido para suprir a necessidade de uma forrageira com alta qualidade nutricional, boa adaptação a diferentes solos e facilidade de dessecação para o plantio direto na palhada."
Braquiarinha (Brachiaria decumbens),Brachiaria decumbens cv. Basilisk (syn. Urochloa decumbens),Brachiaria / Urochloa,30 cm (máxima) a 15 cm (mínima),30 a 40 cm (entrada) a 15 a 20 cm (saída),25 cm (entrada) a 15 cm (saída - resíduo de 40%),decumbens.jpg,"Hábito de crescimento decumbente (estolonífero), formando um gramado denso que protege bem o solo contra erosão. Muito rústica, tolera solos ácidos e de baixa fertilidade. Contudo, é altamente suscetível à cigarrinha-das-pastagens e pode causar fotossensibilização em ovinos e bezerros.","Introduzida no Brasil na década de 1960 a partir de material australiano (cv. Basilisk, de origem ugandense). Foi a grande responsável pela abertura das áreas de Cerrado para a pecuária, devido à sua rusticidade e agressividade."
Capim-Zuri,Panicum maximum cv. BRS Zuri (syn. Megathyrsus maximus),Panicum / Megathyrsus,Não recomendado,80 cm (entrada) a 40 cm (saída),80 cm (entrada) a 48 cm (saída - resíduo de 40%),zuri.jpg,"Gramínea de porte alto, semelhante ao Mombaça, mas com maior resistência ao fungo Bipolaris maydis e maior proporção de folhas. Altamente produtiva e de excelente valor nutritivo, exige solos férteis e bom manejo para controle do dossel.","Lançado pela Embrapa em 2014 como uma evolução genética para áreas onde o Tanzânia e o Mombaça apresentavam problemas fitossanitários, garantindo maior segurança e produtividade em sistemas intensivos."
Capim-Massai,Panicum maximum x P. infestus cv. Massai,Panicum / Megathyrsus,Não recomendado,50 a 55 cm (entrada) a 25 a 30 cm (saída),50 cm (entrada) a 30 cm (saída - resíduo de 40%),massai.jpg,"Híbrido de porte baixo a médio, formando touceiras densas com folhas finas. É extremamente rústico, tolerando solos de menor fertilidade em comparação a outros panicuns, e tem boa tolerância à seca. É muito utilizado para ovinos e equinos.","Lançado em 2001 pela Embrapa, foi selecionado no CIAT (Colômbia). Destacou-se no Brasil por ser um 'Panicum com rusticidade de Brachiaria', adaptando-se bem a regiões mais secas como o Nordeste e áreas de transição."
Capim-Elefante (Cameroon / Napier),Pennisetum purpureum (syn. Cenchrus purpureus),Pennisetum / Cenchrus,Não recomendado,90 a 100 cm (entrada) a 40 a 50 cm (saída),100 cm (entrada) a 60 cm (saída - resíduo de 40%),elefante.jpg,"Gramínea perene de porte muito alto (podendo passar de 3 metros se não manejada). Tem altíssimo potencial de produção de biomassa, sendo tradicionalmente usada para corte (capineira) e silagem, mas cultivares modernas e anãs são excelentes para pastejo rotacionado intensivo. Exige alta fertilidade.","Originário da África Tropical, foi introduzido no Brasil no início do século XX. O cv. Napier chegou em 1920 e o Cameroon em 1934. É a base da alimentação volumosa na bacia leiteira tradicional brasileira."
Tifton 85,Cynodon spp. (híbrido),Cynodon,20 cm (máxima) a 10 cm (mínima),25 a 30 cm (entrada) a 10 a 15 cm (saída),25 cm (entrada) a 15 cm (saída - resíduo de 40%),tifton85.jpg,Gramínea estolonífera e rizomatosa de alto valor nutritivo e excelente digestibilidade. Responde muito bem à adubação nitrogenada e irrigação. Seu plantio é feito exclusivamente por mudas (estolões). Muito usada para fenação e pastejo de vacas leiteiras de alta produção e equinos.,"Desenvolvido pelo Dr. Glenn Burton na Universidade da Geórgia (EUA) e lançado em 1992, é um cruzamento entre Tifton 68 e uma introdução da África do Sul. Rapidamente se tornou o padrão ouro para feno e pastagens irrigadas no Brasil."
